Title,Phase,ResponsibleRole,System,GoverningAuthority,LocalProcedure,AuthorityTier,ReferenceLink,Notes
Initiate the personnel action (SF-52 / RPA),Initiation,Manager/Supervisor;HR Specialist,DCPDS,OPM GPPA (what an action requires),DON OCHR RPA Handling Procedures; DCPDS RPA entry,T4 Component (DON),https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/,"Supervisor requests; HR reviews. DON procedure governs routing, not the rule."
Classify the action and assign the NOAC / legal authority,Initiation,HR Specialist,DCPDS,OPM GPPA action tables (NOAC + authority),DCPDS UM (RPA processing),T1 Federal (OPM),https://www.opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/,NOAC and authority are OPM-defined; DCPDS is the entry system.
Approve and effect the SF-50,Effecting (HR),HR Specialist,DCPDS,OPM GPPA; 5 CFR (pay-setting rules),DCPDS UM; DON OCHR effecting procedures,T1 Federal (OPM),https://www.ecfr.gov/current/title-5,HR owns through effecting the SF-50.
"Record benefits elections (retirement, FEHB, TSP)",Effecting (HR),HR Specialist;Employee,DCPDS,5 U.S.C. Ch. 83/84; 5 CFR 890/892; 5 CFR 1600,DCPDS / employee self-service; flows to DCPS deduction codes,T1 Federal (OPM),https://www.ecfr.gov/current/title-5,Elections are statutory/CFR; systems record them.
Transmit effected personnel data DCPDS -> DCPS,HR→Pay Interface,System (automated),DCPS,DoD FMR Vol 8 (payroll data source of record),DCPS Interface Spec (Personnel Interface); nightly file,T2 DoD/Overseas (FMR/DoDI/DSSR),https://comptroller.defense.gov/FMR/vol8_chapters.aspx,The interface is the HR->Pay ownership boundary.
Record time and attendance,Timekeeping,Timekeeper,DCPS,"5 CFR Part 550 / Part 610 (hours of work, premium pay)",DCPS UM Sec D (T&A entry),T1 Federal (OPM),https://www.ecfr.gov/current/title-5,Timekeeper records reported time.
Certify time and attendance,Timekeeping,Certifying Officer;Manager/Supervisor,DCPS,"DoD FMR Vol 8, Ch. 2 (T&A certification)",DCPS UM Sec D (certification),T2 DoD/Overseas (FMR/DoDI/DSSR),https://comptroller.defense.gov/FMR/vol8_chapters.aspx,Certifier attests to correctness before pay computes.
"Compute gross pay, locality, and premiums",Pay Computation,System (automated);Payroll (CSR),DCPS,"DoD FMR Vol 8, Ch. 3; 5 CFR Part 550",DCPS UM Sec D Ch. 5 (Pay),T2 DoD/Overseas (FMR/DoDI/DSSR),https://comptroller.defense.gov/FMR/vol8_chapters.aspx,DCPS computes from the updated Master Employee Record.
Apply deductions in order of precedence and pay caps,Pay Computation,System (automated);Payroll (CSR),DCPS,"DoD FMR Vol 8, Ch. 4 (order of precedence); 5 U.S.C. 5307 (caps)",DCPS UM Sec D (deductions),T2 DoD/Overseas (FMR/DoDI/DSSR),https://comptroller.defense.gov/FMR/vol8_chapters.aspx,Precedence and caps are FMR/statute; DCPS enforces.
Run the pre-pay audit before certification,Reconciliation/Audit,Payroll (CSR),DCPS,"DoD FMR Vol 8, Ch. 5 (pay certification controls)",DCPS UM Sec F Ch. 5 Report P6634 (Pre-Pay Audit — Gross to Deductions),T3 System (DCPDS/DCPS),https://comptroller.defense.gov/FMR/vol8_chapters.aspx,Report P6634 flags pre-pay exceptions for CSR review.
Certify the payroll for payment,Certification,Certifying Officer,DCPS,"31 U.S.C. 3528 (certifying officer liability); DoD FMR Vol 8, Ch. 5",DCPS UM Sec F Ch. 5 (Pay Certification),T1 Federal (OPM),https://comptroller.defense.gov/FMR/vol8_chapters.aspx,Certifying officer is personally accountable for the certification.
Disburse net pay to the employee,Disbursing,DFAS Disbursing,Disbursing,"DoD FMR Vol 8, Ch. 5 (disbursing); 31 U.S.C. (disbursing authority)",DCPS -> disbursing / Treasury,T2 DoD/Overseas (FMR/DoDI/DSSR),https://comptroller.defense.gov/FMR/vol8_chapters.aspx,Net pay and allotments paid via Treasury/EFT.
